event_name,commence,status,bookmaker,last_update,odd_1,odd_2,odd_draw
Oklahoma City Thunder_Orlando Magic,12/19/2024,Pending,FanDuel,12/18/2024,-240,198,
Oklahoma City Thunder_Orlando Magic,12/19/2024,Pending,MyBookie.ag,12/18/2024,-256,202,
Oklahoma City Thunder_Orlando Magic,12/19/2024,Pending,DraftKings,12/18/2024,-238,195,
Oklahoma City Thunder_Orlando Magic,12/19/2024,Pending,BetRivers,12/18/2024,-225,185,
Oklahoma City Thunder_Orlando Magic,12/19/2024,Pending,BetMGM,12/18/2024,-250,200,
Oklahoma City Thunder_Orlando Magic,12/19/2024,Pending,LowVig.ag,12/18/2024,-245,205,
Oklahoma City Thunder_Orlando Magic,12/19/2024,Pending,BetOnline.ag,12/18/2024,-245,205,
Oklahoma City Thunder_Orlando Magic,12/19/2024,Pending,Bovada,12/18/2024,-250,210,
Charlotte Hornets_Washington Wizards,12/19/2024,Pending,FanDuel,12/18/2024,-174,146,
Charlotte Hornets_Washington Wizards,12/19/2024,Pending,DraftKings,12/18/2024,-170,142,
Charlotte Hornets_Washington Wizards,12/19/2024,Pending,MyBookie.ag,12/18/2024,-175,142,
Charlotte Hornets_Washington Wizards,12/19/2024,Pending,BetRivers,12/18/2024,-167,140,
Charlotte Hornets_Washington Wizards,12/19/2024,Pending,BetMGM,12/18/2024,-175,145,
Charlotte Hornets_Washington Wizards,12/19/2024,Pending,Bovada,12/18/2024,-180,155,
Charlotte Hornets_Washington Wizards,12/19/2024,Pending,BetOnline.ag,12/18/2024,-170,150,
Charlotte Hornets_Washington Wizards,12/19/2024,Pending,LowVig.ag,12/18/2024,-170,150,
Detroit Pistons_Utah Jazz,12/19/2024,Pending,FanDuel,12/18/2024,-180,154,
Detroit Pistons_Utah Jazz,12/19/2024,Pending,MyBookie.ag,12/18/2024,-172,141,
Detroit Pistons_Utah Jazz,12/19/2024,Pending,DraftKings,12/18/2024,-175,145,
Detroit Pistons_Utah Jazz,12/19/2024,Pending,BetRivers,12/18/2024,-182,150,
Detroit Pistons_Utah Jazz,12/19/2024,Pending,BetMGM,12/18/2024,-175,145,
Detroit Pistons_Utah Jazz,12/19/2024,Pending,Bovada,12/18/2024,-175,150,
Detroit Pistons_Utah Jazz,12/19/2024,Pending,BetOnline.ag,12/18/2024,-170,150,
Detroit Pistons_Utah Jazz,12/19/2024,Pending,LowVig.ag,12/18/2024,-170,150,
Boston Celtics_Chicago Bulls,12/19/2024,Pending,FanDuel,12/18/2024,-1200,750,
Boston Celtics_Chicago Bulls,12/19/2024,Pending,DraftKings,12/18/2024,-1100,700,
Boston Celtics_Chicago Bulls,12/19/2024,Pending,MyBookie.ag,12/18/2024,-1250,687,
Boston Celtics_Chicago Bulls,12/19/2024,Pending,BetRivers,12/18/2024,-1250,750,
Boston Celtics_Chicago Bulls,12/19/2024,Pending,BetMGM,12/18/2024,-1200,725,
Boston Celtics_Chicago Bulls,12/19/2024,Pending,Bovada,12/18/2024,-1100,650,
Boston Celtics_Chicago Bulls,12/19/2024,Pending,LowVig.ag,12/18/2024,-1050,675,
Boston Celtics_Chicago Bulls,12/19/2024,Pending,BetOnline.ag,12/18/2024,-1050,675,
Brooklyn Nets_Toronto Raptors,12/19/2024,Pending,DraftKings,12/18/2024,145,-175,
Brooklyn Nets_Toronto Raptors,12/19/2024,Pending,MyBookie.ag,12/18/2024,142,-175,
Brooklyn Nets_Toronto Raptors,12/19/2024,Pending,FanDuel,12/18/2024,138,-164,
Brooklyn Nets_Toronto Raptors,12/19/2024,Pending,BetRivers,12/18/2024,148,-177,
Brooklyn Nets_Toronto Raptors,12/19/2024,Pending,BetMGM,12/18/2024,145,-175,
Brooklyn Nets_Toronto Raptors,12/19/2024,Pending,LowVig.ag,12/18/2024,150,-170,
Brooklyn Nets_Toronto Raptors,12/19/2024,Pending,BetOnline.ag,12/18/2024,150,-170,
Brooklyn Nets_Toronto Raptors,12/19/2024,Pending,Bovada,12/18/2024,135,-160,
Atlanta Hawks_San Antonio Spurs,12/19/2024,Pending,FanDuel,12/18/2024,-102,-116,
Atlanta Hawks_San Antonio Spurs,12/19/2024,Pending,MyBookie.ag,12/18/2024,-114,-108,
Atlanta Hawks_San Antonio Spurs,12/19/2024,Pending,DraftKings,12/18/2024,-102,-118,
Atlanta Hawks_San Antonio Spurs,12/19/2024,Pending,BetRivers,12/18/2024,100,-118,
Atlanta Hawks_San Antonio Spurs,12/19/2024,Pending,BetMGM,12/18/2024,-105,-115,
Atlanta Hawks_San Antonio Spurs,12/19/2024,Pending,LowVig.ag,12/18/2024,-102,-118,
Atlanta Hawks_San Antonio Spurs,12/19/2024,Pending,BetOnline.ag,12/18/2024,-102,-118,
Atlanta Hawks_San Antonio Spurs,12/19/2024,Pending,Bovada,12/18/2024,105,-125,
Golden State Warriors_Memphis Grizzlies,12/19/2024,Pending,FanDuel,12/18/2024,136,-162,
Golden State Warriors_Memphis Grizzlies,12/19/2024,Pending,MyBookie.ag,12/18/2024,134,-164,
Golden State Warriors_Memphis Grizzlies,12/19/2024,Pending,DraftKings,12/18/2024,142,-170,
Golden State Warriors_Memphis Grizzlies,12/19/2024,Pending,BetRivers,12/18/2024,135,-162,
Golden State Warriors_Memphis Grizzlies,12/19/2024,Pending,BetMGM,12/18/2024,145,-175,
Golden State Warriors_Memphis Grizzlies,12/19/2024,Pending,LowVig.ag,12/18/2024,145,-165,
Golden State Warriors_Memphis Grizzlies,12/19/2024,Pending,BetOnline.ag,12/18/2024,145,-165,
Golden State Warriors_Memphis Grizzlies,12/19/2024,Pending,Bovada,12/18/2024,140,-165,
Houston Rockets_New Orleans Pelicans,12/19/2024,Pending,FanDuel,12/18/2024,-480,370,
Houston Rockets_New Orleans Pelicans,12/19/2024,Pending,MyBookie.ag,12/18/2024,-500,369,
Houston Rockets_New Orleans Pelicans,12/19/2024,Pending,DraftKings,12/18/2024,-520,390,
Houston Rockets_New Orleans Pelicans,12/19/2024,Pending,BetRivers,12/18/2024,-500,380,
Houston Rockets_New Orleans Pelicans,12/19/2024,Pending,BetMGM,12/18/2024,-500,375,
Houston Rockets_New Orleans Pelicans,12/19/2024,Pending,LowVig.ag,12/18/2024,-500,395,
Houston Rockets_New Orleans Pelicans,12/19/2024,Pending,BetOnline.ag,12/18/2024,-500,395,
Houston Rockets_New Orleans Pelicans,12/19/2024,Pending,Bovada,12/18/2024,-525,375,
Dallas Mavericks_Los Angeles Clippers,12/19/2024,Pending,DraftKings,12/18/2024,-258,210,
Dallas Mavericks_Los Angeles Clippers,12/19/2024,Pending,MyBookie.ag,12/18/2024,-256,203,
Dallas Mavericks_Los Angeles Clippers,12/19/2024,Pending,FanDuel,12/18/2024,-260,215,
Dallas Mavericks_Los Angeles Clippers,12/19/2024,Pending,BetRivers,12/18/2024,-240,195,
Dallas Mavericks_Los Angeles Clippers,12/19/2024,Pending,BetMGM,12/18/2024,-275,220,
Dallas Mavericks_Los Angeles Clippers,12/19/2024,Pending,Bovada,12/18/2024,-260,215,
Dallas Mavericks_Los Angeles Clippers,12/19/2024,Pending,LowVig.ag,12/18/2024,-260,220,
Dallas Mavericks_Los Angeles Clippers,12/19/2024,Pending,BetOnline.ag,12/18/2024,-260,220,
Indiana Pacers_Phoenix Suns,12/19/2024,Pending,FanDuel,12/18/2024,210,-255,
