event_name,commence,status,bookmaker,last_update,point_1,point_2,odd_1,odd_2
Oklahoma City Thunder_Orlando Magic,12/19/2024,Pending,FanDuel,12/18/2024,over 209.5,under 209.5,-110,-110
Oklahoma City Thunder_Orlando Magic,12/19/2024,Pending,MyBookie.ag,12/18/2024,over 209.5,under 209.5,-110,-110
Oklahoma City Thunder_Orlando Magic,12/19/2024,Pending,DraftKings,12/18/2024,over 209.5,under 209.5,-112,-108
Oklahoma City Thunder_Orlando Magic,12/19/2024,Pending,BetRivers,12/18/2024,over 210.0,under 210.0,-112,-109
Oklahoma City Thunder_Orlando Magic,12/19/2024,Pending,BetMGM,12/18/2024,over 209.5,under 209.5,-110,-110
Oklahoma City Thunder_Orlando Magic,12/19/2024,Pending,LowVig.ag,12/18/2024,over 209.0,under 209.0,-113,-102
Oklahoma City Thunder_Orlando Magic,12/19/2024,Pending,BetOnline.ag,12/18/2024,over 209.0,under 209.0,-115,-105
Oklahoma City Thunder_Orlando Magic,12/19/2024,Pending,Bovada,12/18/2024,over 209.5,under 209.5,-110,-110
Charlotte Hornets_Washington Wizards,12/19/2024,Pending,FanDuel,12/18/2024,over 226.0,under 226.0,-110,-110
Charlotte Hornets_Washington Wizards,12/19/2024,Pending,DraftKings,12/18/2024,over 226.0,under 226.0,-110,-110
Charlotte Hornets_Washington Wizards,12/19/2024,Pending,MyBookie.ag,12/18/2024,over 226.0,under 226.0,-110,-110
Charlotte Hornets_Washington Wizards,12/19/2024,Pending,BetRivers,12/18/2024,over 226.5,under 226.5,-110,-110
Charlotte Hornets_Washington Wizards,12/19/2024,Pending,BetMGM,12/18/2024,over 226.5,under 226.5,-110,-110
Charlotte Hornets_Washington Wizards,12/19/2024,Pending,Bovada,12/18/2024,over 226.0,under 226.0,-110,-110
Charlotte Hornets_Washington Wizards,12/19/2024,Pending,BetOnline.ag,12/18/2024,over 226.0,under 226.0,-110,-110
Charlotte Hornets_Washington Wizards,12/19/2024,Pending,LowVig.ag,12/18/2024,over 226.0,under 226.0,-107,-107
Detroit Pistons_Utah Jazz,12/19/2024,Pending,FanDuel,12/18/2024,over 228.0,under 228.0,-110,-110
Detroit Pistons_Utah Jazz,12/19/2024,Pending,MyBookie.ag,12/18/2024,over 228.0,under 228.0,-110,-110
Detroit Pistons_Utah Jazz,12/19/2024,Pending,DraftKings,12/18/2024,over 228.0,under 228.0,-108,-112
Detroit Pistons_Utah Jazz,12/19/2024,Pending,BetRivers,12/18/2024,over 227.0,under 227.0,-112,-109
Detroit Pistons_Utah Jazz,12/19/2024,Pending,BetMGM,12/18/2024,over 227.5,under 227.5,-115,-105
Detroit Pistons_Utah Jazz,12/19/2024,Pending,Bovada,12/18/2024,over 228.0,under 228.0,-110,-110
Detroit Pistons_Utah Jazz,12/19/2024,Pending,BetOnline.ag,12/18/2024,over 228.0,under 228.0,-110,-110
Detroit Pistons_Utah Jazz,12/19/2024,Pending,LowVig.ag,12/18/2024,over 228.0,under 228.0,-107,-107
