event_name,commence,status,bookmaker,last_update,point_1,point_2,odd_1,odd_2
Oklahoma City Thunder_Orlando Magic,12/19/2024,Pending,FanDuel,12/18/2024,-6,6,-112,-108
Oklahoma City Thunder_Orlando Magic,12/19/2024,Pending,MyBookie.ag,12/18/2024,-6.5,6.5,-110,-110
Oklahoma City Thunder_Orlando Magic,12/19/2024,Pending,DraftKings,12/18/2024,-6,6,-112,-108
Oklahoma City Thunder_Orlando Magic,12/19/2024,Pending,BetRivers,12/18/2024,-6,6,-110,-110
Oklahoma City Thunder_Orlando Magic,12/19/2024,Pending,BetMGM,12/18/2024,-6.5,6.5,-105,-115
Oklahoma City Thunder_Orlando Magic,12/19/2024,Pending,LowVig.ag,12/18/2024,-6,6,-106,-106
Oklahoma City Thunder_Orlando Magic,12/19/2024,Pending,BetOnline.ag,12/18/2024,-6,6,-110,-110
Oklahoma City Thunder_Orlando Magic,12/19/2024,Pending,Bovada,12/18/2024,-6.5,6.5,-105,-115
Charlotte Hornets_Washington Wizards,12/19/2024,Pending,FanDuel,12/18/2024,-3.5,3.5,-114,-106
Charlotte Hornets_Washington Wizards,12/19/2024,Pending,DraftKings,12/18/2024,-3.5,3.5,-115,-105
Charlotte Hornets_Washington Wizards,12/19/2024,Pending,MyBookie.ag,12/18/2024,-4,4,-110,-110
Charlotte Hornets_Washington Wizards,12/19/2024,Pending,BetRivers,12/18/2024,-4,4,-108,-113
Charlotte Hornets_Washington Wizards,12/19/2024,Pending,BetMGM,12/18/2024,-3.5,3.5,-115,-105
Charlotte Hornets_Washington Wizards,12/19/2024,Pending,Bovada,12/18/2024,-3.5,3.5,-115,-105
Charlotte Hornets_Washington Wizards,12/19/2024,Pending,BetOnline.ag,12/18/2024,-3.5,3.5,-115,-105
Charlotte Hornets_Washington Wizards,12/19/2024,Pending,LowVig.ag,12/18/2024,-3.5,3.5,-111,-101
Detroit Pistons_Utah Jazz,12/19/2024,Pending,FanDuel,12/18/2024,-4,4,-110,-110
Detroit Pistons_Utah Jazz,12/19/2024,Pending,MyBookie.ag,12/18/2024,-4,4,-110,-110
Detroit Pistons_Utah Jazz,12/19/2024,Pending,DraftKings,12/18/2024,-4,4,-115,-105
Detroit Pistons_Utah Jazz,12/19/2024,Pending,BetRivers,12/18/2024,-4.5,4.5,-112,-109
Detroit Pistons_Utah Jazz,12/19/2024,Pending,BetMGM,12/18/2024,-3.5,3.5,-115,-105
Detroit Pistons_Utah Jazz,12/19/2024,Pending,Bovada,12/18/2024,-4,4,-110,-110
Detroit Pistons_Utah Jazz,12/19/2024,Pending,BetOnline.ag,12/18/2024,-4,4,-105,-115
Detroit Pistons_Utah Jazz,12/19/2024,Pending,LowVig.ag,12/18/2024,-4,4,-101,-111
Boston Celtics_Chicago Bulls,12/19/2024,Pending,FanDuel,12/18/2024,-15,15,-112,-108
Boston Celtics_Chicago Bulls,12/19/2024,Pending,DraftKings,12/18/2024,-14.5,14.5,-110,-110
Boston Celtics_Chicago Bulls,12/19/2024,Pending,MyBookie.ag,12/18/2024,-14.5,14.5,-110,-110
Boston Celtics_Chicago Bulls,12/19/2024,Pending,BetRivers,12/18/2024,-14.5,14.5,-112,-109
Boston Celtics_Chicago Bulls,12/19/2024,Pending,BetMGM,12/18/2024,-14.5,14.5,-110,-110
Boston Celtics_Chicago Bulls,12/19/2024,Pending,Bovada,12/18/2024,-14.5,14.5,-110,-110
Boston Celtics_Chicago Bulls,12/19/2024,Pending,LowVig.ag,12/18/2024,-14.5,14.5,-101,-111
Boston Celtics_Chicago Bulls,12/19/2024,Pending,BetOnline.ag,12/18/2024,-14.5,14.5,-105,-115
Brooklyn Nets_Toronto Raptors,12/19/2024,Pending,DraftKings,12/18/2024,4,-4,-112,-108
Brooklyn Nets_Toronto Raptors,12/19/2024,Pending,MyBookie.ag,12/18/2024,4,-4,-110,-110
Brooklyn Nets_Toronto Raptors,12/19/2024,Pending,FanDuel,12/18/2024,3.5,-3.5,-105,-115
Brooklyn Nets_Toronto Raptors,12/19/2024,Pending,BetRivers,12/18/2024,4,-4,-113,-108
Brooklyn Nets_Toronto Raptors,12/19/2024,Pending,BetMGM,12/18/2024,3.5,-3.5,-105,-115
Brooklyn Nets_Toronto Raptors,12/19/2024,Pending,LowVig.ag,12/18/2024,4,-4,-106,-106
Brooklyn Nets_Toronto Raptors,12/19/2024,Pending,BetOnline.ag,12/18/2024,4,-4,-110,-110
Brooklyn Nets_Toronto Raptors,12/19/2024,Pending,Bovada,12/18/2024,3.5,-3.5,-110,-110
Atlanta Hawks_San Antonio Spurs,12/19/2024,Pending,FanDuel,12/18/2024,1,-1,-110,-110
Atlanta Hawks_San Antonio Spurs,12/19/2024,Pending,MyBookie.ag,12/18/2024,1,-1,-110,-110
Atlanta Hawks_San Antonio Spurs,12/19/2024,Pending,DraftKings,12/18/2024,1,-1,-115,-105
Atlanta Hawks_San Antonio Spurs,12/19/2024,Pending,BetRivers,12/18/2024,1.5,-1.5,-109,-112
Atlanta Hawks_San Antonio Spurs,12/19/2024,Pending,BetMGM,12/18/2024,1.5,-1.5,-115,-105
Atlanta Hawks_San Antonio Spurs,12/19/2024,Pending,LowVig.ag,12/18/2024,1,-1,-104,-108
Atlanta Hawks_San Antonio Spurs,12/19/2024,Pending,BetOnline.ag,12/18/2024,1,-1,-108,-112
Atlanta Hawks_San Antonio Spurs,12/19/2024,Pending,Bovada,12/18/2024,1.5,-1.5,-115,-105
Golden State Warriors_Memphis Grizzlies,12/19/2024,Pending,FanDuel,12/18/2024,4,-4,-112,-108
Golden State Warriors_Memphis Grizzlies,12/19/2024,Pending,MyBookie.ag,12/18/2024,3.5,-3.5,-110,-110
Golden State Warriors_Memphis Grizzlies,12/19/2024,Pending,DraftKings,12/18/2024,4,-4,-112,-108
Golden State Warriors_Memphis Grizzlies,12/19/2024,Pending,BetRivers,12/18/2024,3.5,-3.5,-108,-113
Golden State Warriors_Memphis Grizzlies,12/19/2024,Pending,BetMGM,12/18/2024,3.5,-3.5,-105,-115
Golden State Warriors_Memphis Grizzlies,12/19/2024,Pending,LowVig.ag,12/18/2024,4,-4,-108,-104
Golden State Warriors_Memphis Grizzlies,12/19/2024,Pending,BetOnline.ag,12/18/2024,4,-4,-112,-108
Golden State Warriors_Memphis Grizzlies,12/19/2024,Pending,Bovada,12/18/2024,4,-4,-115,-105
Houston Rockets_New Orleans Pelicans,12/19/2024,Pending,FanDuel,12/18/2024,-10,10,-114,-106
Houston Rockets_New Orleans Pelicans,12/19/2024,Pending,MyBookie.ag,12/18/2024,-10,10,-110,-110
Houston Rockets_New Orleans Pelicans,12/19/2024,Pending,DraftKings,12/18/2024,-10,10,-108,-112
Houston Rockets_New Orleans Pelicans,12/19/2024,Pending,BetRivers,12/18/2024,-10.5,10.5,-112,-109
Houston Rockets_New Orleans Pelicans,12/19/2024,Pending,BetMGM,12/18/2024,-10.5,10.5,-105,-115
Houston Rockets_New Orleans Pelicans,12/19/2024,Pending,LowVig.ag,12/18/2024,-10,10,-101,-111
Houston Rockets_New Orleans Pelicans,12/19/2024,Pending,BetOnline.ag,12/18/2024,-10,10,-105,-115
Houston Rockets_New Orleans Pelicans,12/19/2024,Pending,Bovada,12/18/2024,-10,10,-115,-105
Dallas Mavericks_Los Angeles Clippers,12/19/2024,Pending,DraftKings,12/18/2024,-6.5,6.5,-112,-108
Dallas Mavericks_Los Angeles Clippers,12/19/2024,Pending,MyBookie.ag,12/18/2024,-6.5,6.5,-110,-110
Dallas Mavericks_Los Angeles Clippers,12/19/2024,Pending,FanDuel,12/18/2024,-6.5,6.5,-110,-110
Dallas Mavericks_Los Angeles Clippers,12/19/2024,Pending,BetRivers,12/18/2024,-6.5,6.5,-113,-108
Dallas Mavericks_Los Angeles Clippers,12/19/2024,Pending,BetMGM,12/18/2024,-6.5,6.5,-110,-110
Dallas Mavericks_Los Angeles Clippers,12/19/2024,Pending,Bovada,12/18/2024,-7,7,-105,-115
Dallas Mavericks_Los Angeles Clippers,12/19/2024,Pending,LowVig.ag,12/18/2024,-6.5,6.5,-101,-111
Dallas Mavericks_Los Angeles Clippers,12/19/2024,Pending,BetOnline.ag,12/18/2024,-6.5,6.5,-105,-115
Indiana Pacers_Phoenix Suns,12/19/2024,Pending,FanDuel,12/18/2024,6.5,-6.5,-110,-110
Indiana Pacers_Phoenix Suns,12/19/2024,Pending,DraftKings,12/18/2024,6.5,-6.5,-110,-110
Indiana Pacers_Phoenix Suns,12/19/2024,Pending,MyBookie.ag,12/18/2024,6.5,-6.5,-110,-110
Indiana Pacers_Phoenix Suns,12/19/2024,Pending,BetRivers,12/18/2024,6.5,-6.5,-109,-112
Indiana Pacers_Phoenix Suns,12/19/2024,Pending,BetMGM,12/18/2024,6.5,-6.5,-110,-110
Indiana Pacers_Phoenix Suns,12/19/2024,Pending,Bovada,12/18/2024,6.5,-6.5,-110,-110
Indiana Pacers_Phoenix Suns,12/19/2024,Pending,LowVig.ag,12/18/2024,6.5,-6.5,-101,-111
Indiana Pacers_Phoenix Suns,12/19/2024,Pending,BetOnline.ag,12/18/2024,6.5,-6.5,-105,-115
Minnesota Timberwolves_New York Knicks,12/19/2024,Pending,FanDuel,12/18/2024,-2,2,-112,-108
Minnesota Timberwolves_New York Knicks,12/19/2024,Pending,MyBookie.ag,12/18/2024,-2.5,2.5,-110,-110
Minnesota Timberwolves_New York Knicks,12/19/2024,Pending,DraftKings,12/18/2024,-2.5,2.5,-108,-112
Minnesota Timberwolves_New York Knicks,12/19/2024,Pending,BetRivers,12/18/2024,-2.5,2.5,-112,-109
Minnesota Timberwolves_New York Knicks,12/19/2024,Pending,BetMGM,12/18/2024,-2.5,2.5,-110,-110
Minnesota Timberwolves_New York Knicks,12/19/2024,Pending,LowVig.ag,12/18/2024,-2.5,2.5,-108,-104
Minnesota Timberwolves_New York Knicks,12/19/2024,Pending,BetOnline.ag,12/18/2024,-2.5,2.5,-112,-108
Minnesota Timberwolves_New York Knicks,12/19/2024,Pending,Bovada,12/18/2024,-2.5,2.5,-110,-110
Denver Nuggets_Portland Trail Blazers,12/19/2024,Pending,DraftKings,12/18/2024,-8.5,8.5,-112,-108
Denver Nuggets_Portland Trail Blazers,12/19/2024,Pending,MyBookie.ag,12/18/2024,-8.5,8.5,-110,-110
Denver Nuggets_Portland Trail Blazers,12/19/2024,Pending,FanDuel,12/18/2024,-8.5,8.5,-110,-110
Denver Nuggets_Portland Trail Blazers,12/19/2024,Pending,BetRivers,12/18/2024,-8.5,8.5,-110,-110
Denver Nuggets_Portland Trail Blazers,12/19/2024,Pending,BetMGM,12/18/2024,-8.5,8.5,-110,-110
Denver Nuggets_Portland Trail Blazers,12/19/2024,Pending,LowVig.ag,12/18/2024,-8.5,8.5,-111,-101
Denver Nuggets_Portland Trail Blazers,12/19/2024,Pending,BetOnline.ag,12/18/2024,-8.5,8.5,-115,-105
Denver Nuggets_Portland Trail Blazers,12/19/2024,Pending,Bovada,12/18/2024,-8.5,8.5,-115,-105
Los Angeles Lakers_Sacramento Kings,12/19/2024,Pending,DraftKings,12/18/2024,5,-5,-105,-115
Los Angeles Lakers_Sacramento Kings,12/19/2024,Pending,MyBookie.ag,12/18/2024,5,-5,-110,-110
Los Angeles Lakers_Sacramento Kings,12/19/2024,Pending,FanDuel,12/18/2024,5.5,-5.5,-115,-105
Los Angeles Lakers_Sacramento Kings,12/19/2024,Pending,BetRivers,12/18/2024,5,-5,-107,-114
Los Angeles Lakers_Sacramento Kings,12/19/2024,Pending,BetMGM,12/18/2024,5.5,-5.5,-115,-105
Los Angeles Lakers_Sacramento Kings,12/19/2024,Pending,LowVig.ag,12/18/2024,5.5,-5.5,-106,-106
Los Angeles Lakers_Sacramento Kings,12/19/2024,Pending,BetOnline.ag,12/18/2024,5.5,-5.5,-110,-110
Los Angeles Lakers_Sacramento Kings,12/19/2024,Pending,Bovada,12/18/2024,5.5,-5.5,-115,-105
New York Knicks_San Antonio Spurs,12/25/2024,Pending,DraftKings,12/18/2024,-9,9,-110,-110
New York Knicks_San Antonio Spurs,12/25/2024,Pending,MyBookie.ag,12/18/2024,-9.5,9.5,-110,-110
Dallas Mavericks_Minnesota Timberwolves,12/25/2024,Pending,DraftKings,12/18/2024,-3.5,3.5,-110,-110
Dallas Mavericks_Minnesota Timberwolves,12/25/2024,Pending,MyBookie.ag,12/18/2024,-3.5,3.5,-110,-110
Golden State Warriors_Los Angeles Lakers,12/25/2024,Pending,DraftKings,12/18/2024,-4.5,4.5,-110,-110
Golden State Warriors_Los Angeles Lakers,12/25/2024,Pending,MyBookie.ag,12/18/2024,-4.5,4.5,-110,-110
Denver Nuggets_Phoenix Suns,12/25/2024,Pending,DraftKings,12/18/2024,2,-2,-110,-110
Denver Nuggets_Phoenix Suns,12/25/2024,Pending,MyBookie.ag,12/18/2024,2,-2,-110,-110
